peak_name	gene	sym	cluster
peak_148	ENSG00000157933	SKI	Cluster_1
peak_149	ENSG00000157933	SKI	Cluster_1
peak_150	ENSG00000157933	SKI	Cluster_1
peak_870	ENSG00000162441	LZIC	Cluster_1
peak_1454	ENSG00000116809	ZBTB17	Cluster_1
peak_1862	ENSG00000173436	MICOS10	Cluster_1
peak_1862	ENSG00000077549	CAPZB	Cluster_1
peak_3979	ENSG00000168653	NDUFS5	Cluster_1
peak_4503	ENSG00000178922	HYI	Cluster_1
peak_4503	ENSG00000142949	PTPRF	Cluster_1
peak_5725	ENSG00000177606	JUN	Cluster_1
peak_6228	ENSG00000158966	CACHD1	Cluster_1
peak_6258	ENSG00000162434	JAK1	Cluster_1
peak_6546	ENSG00000116729	WLS	Cluster_1
peak_6764	ENSG00000154027	AK5	Cluster_1
peak_6788	ENSG00000162614	NEXN	Cluster_1
peak_7089	ENSG00000142871	CCN1	Cluster_1
peak_7089	ENSG00000153904	DDAH1	Cluster_1
peak_7103	ENSG00000142871	CCN1	Cluster_1
peak_7103	ENSG00000153904	DDAH1	Cluster_1
peak_7114	ENSG00000142871	CCN1	Cluster_1
peak_7114	ENSG00000153904	DDAH1	Cluster_1
peak_7207	ENSG00000143013	LMO4	Cluster_1
peak_7264	ENSG00000143013	LMO4	Cluster_1
peak_7749	ENSG00000117525	F3	Cluster_1
peak_7781	ENSG00000117519	CNN3	Cluster_1
peak_7784	ENSG00000117519	CNN3	Cluster_1
peak_8472	ENSG00000271810	NA	Cluster_1
peak_8472	ENSG00000155366	RHOC	Cluster_1
peak_8627	ENSG00000116774	OLFML3	Cluster_1
peak_9558	ENSG00000143515	ATP8B2	Cluster_1
peak_9558	ENSG00000143595	AQP10	Cluster_1
peak_9628	ENSG00000160714	UBE2Q1	Cluster_1
peak_9743	ENSG00000143622	RIT1	Cluster_1
peak_9934	ENSG00000183853	KIRREL1	Cluster_1
peak_9935	ENSG00000183853	KIRREL1	Cluster_1
peak_10238	ENSG00000162733	DDR2	Cluster_1
peak_10436	ENSG00000143183	TMCO1	Cluster_1
peak_10437	ENSG00000143183	TMCO1	Cluster_1
peak_10581	ENSG00000197965	MPZL1	Cluster_1
peak_10590	ENSG00000143164	DCAF6	Cluster_1
peak_10590	ENSG00000143158	MPC2	Cluster_1
peak_10598	ENSG00000143164	DCAF6	Cluster_1
peak_10598	ENSG00000143158	MPC2	Cluster_1
peak_10818	ENSG00000116132	PRRX1	Cluster_1
peak_11104	ENSG00000117592	PRDX6	Cluster_1
peak_11480	ENSG00000116191	RALGPS2	Cluster_1
peak_12206	ENSG00000073756	PTGS2	Cluster_1
peak_12243	ENSG00000073756	PTGS2	Cluster_1
peak_12350	ENSG00000162630	B3GALT2	Cluster_1
peak_12452	ENSG00000151414	NEK7	Cluster_1
peak_12458	ENSG00000151414	NEK7	Cluster_1
peak_12703	ENSG00000159176	CSRP1	Cluster_1
peak_12779	ENSG00000198892	SHISA4	Cluster_1
peak_12945	ENSG00000058668	ATP2B4	Cluster_1
peak_13479	ENSG00000117597	UTP25	Cluster_1
peak_14380	ENSG00000136630	HLX	Cluster_1
peak_14555	ENSG00000154309	DISP1	Cluster_1
peak_14794	ENSG00000154380	ENAH	Cluster_1
peak_16852	ENSG00000067082	KLF6	Cluster_1
peak_16855	ENSG00000067082	KLF6	Cluster_1
peak_17946	ENSG00000026025	VIM	Cluster_1
peak_17947	ENSG00000026025	VIM	Cluster_1
peak_17948	ENSG00000026025	VIM	Cluster_1
peak_18508	ENSG00000107863	ARHGAP21	Cluster_1
peak_18518	ENSG00000099256	PRTFDC1	Cluster_1
peak_19031	ENSG00000148516	ZEB1	Cluster_1
peak_19076	ENSG00000148516	ZEB1	Cluster_1
peak_19101	ENSG00000148516	ZEB1	Cluster_1
peak_19509	ENSG00000177283	FZD8	Cluster_1
peak_19510	ENSG00000177283	FZD8	Cluster_1
peak_19525	ENSG00000177283	FZD8	Cluster_1
peak_19526	ENSG00000177283	FZD8	Cluster_1
peak_19773	ENSG00000107562	CXCL12	Cluster_1
peak_20103	ENSG00000107984	DKK1	Cluster_1
peak_20104	ENSG00000107984	DKK1	Cluster_1
peak_20621	ENSG00000165476	REEP3	Cluster_1
peak_20908	ENSG00000197467	COL13A1	Cluster_1
peak_21556	ENSG00000165655	ZNF503	Cluster_1
peak_22581	ENSG00000119938	PPP1R3C	Cluster_1
peak_23160	ENSG00000119943	PYROXD2	Cluster_1
peak_23538	ENSG00000198408	OGA	Cluster_1
peak_23538	ENSG00000166197	NOLC1	Cluster_1
peak_23624	ENSG00000107882	SUFU	Cluster_1
peak_23624	ENSG00000138107	ACTR1A	Cluster_1
peak_23624	ENSG00000171206	TRIM8	Cluster_1
peak_23628	ENSG00000171206	TRIM8	Cluster_1
peak_23773	ENSG00000107957	SH3PXD2A	Cluster_1
peak_23846	ENSG00000148841	ITPRIP	Cluster_1
peak_23999	ENSG00000138166	DUSP5	Cluster_1
peak_24510	ENSG00000165868	HSPA12A	Cluster_1
peak_24702	ENSG00000151893	CACUL1	Cluster_1
peak_24795	ENSG00000198873	GRK5	Cluster_1
peak_25439	ENSG00000148848	ADAM12	Cluster_1
peak_25467	ENSG00000148848	ADAM12	Cluster_1
peak_25487	ENSG00000150760	DOCK1	Cluster_1
peak_25668	ENSG00000175470	PPP2R2D	Cluster_1
peak_25668	ENSG00000176171	BNIP3	Cluster_1
peak_26491	ENSG00000148926	ADM	Cluster_1
peak_26504	ENSG00000133805	AMPD3	Cluster_1
peak_26504	ENSG00000148926	ADM	Cluster_1
peak_26550	ENSG00000072952	IRAG1	Cluster_1
peak_26810	ENSG00000187079	TEAD1	Cluster_1
peak_27009	ENSG00000133818	RRAS2	Cluster_1
peak_27009	ENSG00000129083	COPB1	Cluster_1
peak_27010	ENSG00000133818	RRAS2	Cluster_1
peak_27016	ENSG00000129083	COPB1	Cluster_1
peak_27298	ENSG00000134333	LDHA	Cluster_1
peak_28131	ENSG00000026508	CD44	Cluster_1
peak_28165	ENSG00000026508	CD44	Cluster_1
peak_28190	ENSG00000026508	CD44	Cluster_1
peak_28918	ENSG00000186660	ZFP91	Cluster_1
peak_28918	ENSG00000255073	ZFP91-CNTF	Cluster_1
peak_28918	ENSG00000110031	LPXN	Cluster_1
peak_28918	ENSG00000242689	CNTF	Cluster_1
peak_29777	ENSG00000173621	LRFN4	Cluster_1
peak_30075	ENSG00000172935	MRGPRF	Cluster_1
peak_30161	ENSG00000110092	CCND1	Cluster_1
peak_30180	ENSG00000110092	CCND1	Cluster_1
peak_30186	ENSG00000110092	CCND1	Cluster_1
peak_30193	ENSG00000110092	CCND1	Cluster_1
peak_30197	ENSG00000110092	CCND1	Cluster_1
peak_30241	ENSG00000131620	ANO1	Cluster_1
peak_31278	ENSG00000165490	DDIAS	Cluster_1
peak_31278	ENSG00000137509	PRCP	Cluster_1
peak_31278	ENSG00000137494	ANKRD42	Cluster_1
peak_31725	ENSG00000086991	NOX4	Cluster_1
peak_31726	ENSG00000086991	NOX4	Cluster_1
peak_32059	ENSG00000184384	MAML2	Cluster_1
peak_32145	ENSG00000137693	YAP1	Cluster_1
peak_32230	ENSG00000196611	MMP1	Cluster_1
peak_32773	ENSG00000166741	NNMT	Cluster_1
peak_32830	ENSG00000076043	REXO2	Cluster_1
peak_32833	ENSG00000255663	NA	Cluster_1
peak_32833	ENSG00000076053	RBM7	Cluster_1
peak_32833	ENSG00000180425	C11orf71	Cluster_1
peak_32834	ENSG00000076043	REXO2	Cluster_1
peak_33296	ENSG00000154096	THY1	Cluster_1
peak_33418	ENSG00000196914	ARHGEF12	Cluster_1
peak_33656	ENSG00000166250	CLMP	Cluster_1
peak_33795	ENSG00000165495	PKNOX2	Cluster_1
peak_34534	ENSG00000111186	WNT5B	Cluster_1
peak_34537	ENSG00000111186	WNT5B	Cluster_1
peak_34698	ENSG00000011105	TSPAN9	Cluster_1
peak_34896	ENSG00000185652	NTF3	Cluster_1
peak_34911	ENSG00000185652	NTF3	Cluster_1
peak_34937	ENSG00000185652	NTF3	Cluster_1
peak_34940	ENSG00000185652	NTF3	Cluster_1
peak_36013	ENSG00000121361	KCNJ8	Cluster_1
peak_36123	ENSG00000133703	KRAS	Cluster_1
peak_36137	ENSG00000123094	RASSF8	Cluster_1
peak_36297	ENSG00000152944	MED21	Cluster_1
peak_37059	ENSG00000111371	SLC38A1	Cluster_1
peak_37106	ENSG00000134294	SLC38A2	Cluster_1
peak_37415	ENSG00000123416	TUBA1B	Cluster_1
peak_37453	ENSG00000178401	DNAJC22	Cluster_1
peak_37453	ENSG00000110844	PRPF40B	Cluster_1
peak_37690	ENSG00000196876	SCN8A	Cluster_1
peak_37690	ENSG00000284730	TMDD1	Cluster_1
peak_37693	ENSG00000196876	SCN8A	Cluster_1
peak_37693	ENSG00000284730	TMDD1	Cluster_1
peak_38548	ENSG00000196935	SRGAP1	Cluster_1
peak_38550	ENSG00000196935	SRGAP1	Cluster_1
peak_38635	ENSG00000174099	MSRB3	Cluster_1
peak_38635	ENSG00000139233	LLPH	Cluster_1
peak_38645	ENSG00000149948	HMGA2	Cluster_1
peak_38724	ENSG00000149948	HMGA2	Cluster_1
peak_38736	ENSG00000149948	HMGA2	Cluster_1
peak_38737	ENSG00000149948	HMGA2	Cluster_1
peak_38746	ENSG00000149948	HMGA2	Cluster_1
peak_38747	ENSG00000149948	HMGA2	Cluster_1
peak_38749	ENSG00000149948	HMGA2	Cluster_1
peak_38754	ENSG00000149948	HMGA2	Cluster_1
peak_38909	ENSG00000127334	DYRK2	Cluster_1
peak_38985	ENSG00000127314	RAP1B	Cluster_1
peak_39299	ENSG00000180481	GLIPR1L2	Cluster_1
peak_39299	ENSG00000139278	GLIPR1	Cluster_1
peak_39304	ENSG00000139278	GLIPR1	Cluster_1
peak_39371	ENSG00000139289	PHLDA1	Cluster_1
peak_39600	ENSG00000058272	PPP1R12A	Cluster_1
peak_39604	ENSG00000058272	PPP1R12A	Cluster_1
peak_39605	ENSG00000058272	PPP1R12A	Cluster_1
peak_39990	ENSG00000011465	DCN	Cluster_1
peak_40241	ENSG00000120833	SOCS2	Cluster_1
peak_40404	ENSG00000028203	VEZT	Cluster_1
peak_40404	ENSG00000180263	FGD6	Cluster_1
peak_40517	ENSG00000059758	CDK17	Cluster_1
peak_41017	ENSG00000198431	TXNRD1	Cluster_1
peak_41505	ENSG00000110880	CORO1C	Cluster_1
peak_41510	ENSG00000110880	CORO1C	Cluster_1
peak_41532	ENSG00000110880	CORO1C	Cluster_1
peak_41535	ENSG00000110880	CORO1C	Cluster_1
peak_41537	ENSG00000110880	CORO1C	Cluster_1
peak_41623	ENSG00000076513	ANKRD13A	Cluster_1
peak_41623	ENSG00000139436	GIT2	Cluster_1
peak_41923	ENSG00000151176	PLBD2	Cluster_1
peak_42032	ENSG00000089225	TBX5	Cluster_1
peak_42133	ENSG00000135111	TBX3	Cluster_1
peak_42511	ENSG00000111707	SUDS3	Cluster_1
peak_43672	ENSG00000150457	LATS2	Cluster_1
peak_43672	ENSG00000150459	SAP18	Cluster_1
peak_44223	ENSG00000102755	FLT1	Cluster_1
peak_44303	ENSG00000139514	SLC7A1	Cluster_1
peak_44343	ENSG00000122042	UBL3	Cluster_1
peak_46091	ENSG00000188243	COMMD6	Cluster_1
peak_46320	ENSG00000136158	SPRY2	Cluster_1
peak_46332	ENSG00000136158	SPRY2	Cluster_1
peak_46341	ENSG00000136158	SPRY2	Cluster_1
peak_46342	ENSG00000136158	SPRY2	Cluster_1
peak_46462	ENSG00000125257	ABCC4	Cluster_1
peak_46904	ENSG00000198542	ITGBL1	Cluster_1
peak_47225	ENSG00000134871	COL4A2	Cluster_1
peak_47225	ENSG00000187498	COL4A1	Cluster_1
peak_47694	ENSG00000129562	DAD1	Cluster_1
peak_48772	ENSG00000165527	ARF6	Cluster_1
peak_48979	ENSG00000186469	GNG2	Cluster_1
peak_49089	ENSG00000073712	FERMT2	Cluster_1
peak_49359	ENSG00000139946	PELI2	Cluster_1
peak_49360	ENSG00000139946	PELI2	Cluster_1
peak_49545	ENSG00000165617	DACT1	Cluster_1
peak_49886	ENSG00000023608	SNAPC1	Cluster_1
peak_49920	ENSG00000100644	HIF1A	Cluster_1
peak_50651	ENSG00000072110	ACTN1	Cluster_1
peak_50652	ENSG00000072110	ACTN1	Cluster_1
peak_50653	ENSG00000072110	ACTN1	Cluster_1
peak_50654	ENSG00000072110	ACTN1	Cluster_1
peak_50655	ENSG00000072110	ACTN1	Cluster_1
peak_51192	ENSG00000119681	LTBP2	Cluster_1
peak_51192	ENSG00000119682	AREL1	Cluster_1
peak_51748	ENSG00000165533	TTC8	Cluster_1
peak_51933	ENSG00000198668	CALM1	Cluster_1
peak_51933	ENSG00000165914	TTC7B	Cluster_1
peak_52234	ENSG00000258691	NA	Cluster_1
peak_52234	ENSG00000168398	BDKRB2	Cluster_1
peak_52235	ENSG00000258691	NA	Cluster_1
peak_52235	ENSG00000168398	BDKRB2	Cluster_1
peak_52843	ENSG00000100711	ZFYVE21	Cluster_1
peak_52843	ENSG00000126215	XRCC3	Cluster_1
peak_53091	ENSG00000206190	ATP10A	Cluster_1
peak_53418	ENSG00000137801	THBS1	Cluster_1
peak_53460	ENSG00000137801	THBS1	Cluster_1
peak_53463	ENSG00000137801	THBS1	Cluster_1
peak_53486	ENSG00000137801	THBS1	Cluster_1
peak_53493	ENSG00000137801	THBS1	Cluster_1
peak_53494	ENSG00000137801	THBS1	Cluster_1
peak_53498	ENSG00000137801	THBS1	Cluster_1
peak_53500	ENSG00000137801	THBS1	Cluster_1
peak_53505	ENSG00000137801	THBS1	Cluster_1
peak_53510	ENSG00000137801	THBS1	Cluster_1
peak_54065	ENSG00000166147	FBN1	Cluster_1
peak_55121	ENSG00000140416	TPM1	Cluster_1
peak_55162	ENSG00000140416	TPM1	Cluster_1
peak_55173	ENSG00000140416	TPM1	Cluster_1
peak_55413	ENSG00000166839	ANKDD1A	Cluster_1
peak_55792	ENSG00000103647	CORO2B	Cluster_1
peak_55794	ENSG00000103647	CORO2B	Cluster_1
peak_55849	ENSG00000138604	GLCE	Cluster_1
peak_56146	ENSG00000137831	UACA	Cluster_1
peak_56147	ENSG00000137821	LRRC49	Cluster_1
peak_56147	ENSG00000166173	LARP6	Cluster_1
peak_57272	ENSG00000169609	C15orf40	Cluster_1
peak_57272	ENSG00000136404	TM6SF1	Cluster_1
peak_57620	ENSG00000157766	ACAN	Cluster_1
peak_57819	ENSG00000182511	FES	Cluster_1
peak_58142	ENSG00000185551	NR2F2	Cluster_1
peak_58221	ENSG00000185551	NR2F2	Cluster_1
peak_58468	ENSG00000068305	MEF2A	Cluster_1
peak_58710	ENSG00000129925	PGAP6	Cluster_1
peak_58710	ENSG00000103266	STUB1	Cluster_1
peak_58710	ENSG00000103269	RHBDL1	Cluster_1
peak_59321	ENSG00000182831	C16orf72	Cluster_1
peak_60299	ENSG00000205629	LCMT1	Cluster_1
peak_60722	ENSG00000099377	HSD3B7	Cluster_1
peak_60722	ENSG00000103496	STX4	Cluster_1
peak_62904	ENSG00000153815	CMIP	Cluster_1
peak_63363	ENSG00000103241	FOXF1	Cluster_1
peak_63364	ENSG00000103241	FOXF1	Cluster_1
peak_63374	ENSG00000103241	FOXF1	Cluster_1
peak_63376	ENSG00000103241	FOXF1	Cluster_1
peak_63387	ENSG00000103241	FOXF1	Cluster_1
peak_63388	ENSG00000103241	FOXF1	Cluster_1
peak_63391	ENSG00000103241	FOXF1	Cluster_1
peak_63428	ENSG00000176692	FOXC2	Cluster_1
peak_63429	ENSG00000176692	FOXC2	Cluster_1
peak_63430	ENSG00000176692	FOXC2	Cluster_1
peak_63447	ENSG00000176692	FOXC2	Cluster_1
peak_63466	ENSG00000176678	FOXL1	Cluster_1
peak_63469	ENSG00000176678	FOXL1	Cluster_1
peak_63473	ENSG00000176678	FOXL1	Cluster_1
peak_63474	ENSG00000176678	FOXL1	Cluster_1
peak_63475	ENSG00000176678	FOXL1	Cluster_1
peak_63479	ENSG00000176678	FOXL1	Cluster_1
peak_63484	ENSG00000176678	FOXL1	Cluster_1
peak_63485	ENSG00000176678	FOXL1	Cluster_1
peak_63671	ENSG00000225614	ZNF469	Cluster_1
peak_63710	ENSG00000225614	ZNF469	Cluster_1
peak_63717	ENSG00000225614	ZNF469	Cluster_1
peak_63732	ENSG00000225614	ZNF469	Cluster_1
peak_63734	ENSG00000225614	ZNF469	Cluster_1
peak_63852	ENSG00000131165	CHMP1A	Cluster_1
peak_63901	ENSG00000178773	CPNE7	Cluster_1
peak_63901	ENSG00000131165	CHMP1A	Cluster_1
peak_63902	ENSG00000178773	CPNE7	Cluster_1
peak_63902	ENSG00000131165	CHMP1A	Cluster_1
peak_64017	ENSG00000177374	HIC1	Cluster_1
peak_64017	ENSG00000141258	SGSM2	Cluster_1
peak_64017	ENSG00000167721	TSR1	Cluster_1
peak_64022	ENSG00000177374	HIC1	Cluster_1
peak_64023	ENSG00000177374	HIC1	Cluster_1
peak_64023	ENSG00000070444	MNT	Cluster_1
peak_64030	ENSG00000177374	HIC1	Cluster_1
peak_64030	ENSG00000070366	SMG6	Cluster_1
peak_64560	ENSG00000132535	DLG4	Cluster_1
peak_64560	ENSG00000132507	EIF5A	Cluster_1
peak_64583	ENSG00000213859	KCTD11	Cluster_1
peak_64583	ENSG00000182896	TMEM95	Cluster_1
peak_64583	ENSG00000259224	SLC35G6	Cluster_1
peak_64583	ENSG00000181222	POLR2A	Cluster_1
peak_64583	ENSG00000174282	ZBTB4	Cluster_1
peak_64757	ENSG00000166579	NDEL1	Cluster_1
peak_64757	ENSG00000161973	CCDC42	Cluster_1
peak_65038	ENSG00000141052	MYOCD	Cluster_1
peak_65039	ENSG00000141052	MYOCD	Cluster_1
peak_65735	ENSG00000109079	TNFAIP1	Cluster_1
peak_65735	ENSG00000109083	IFT20	Cluster_1
peak_65841	ENSG00000132589	FLOT2	Cluster_1
peak_65841	ENSG00000167536	DHRS13	Cluster_1
peak_65841	ENSG00000179761	PIPOX	Cluster_1
peak_65841	ENSG00000109118	PHF12	Cluster_1
peak_66819	ENSG00000177469	CAVIN1	Cluster_1
peak_67253	ENSG00000173917	HOXB2	Cluster_1
peak_67406	ENSG00000108821	COL1A1	Cluster_1
peak_67406	ENSG00000167105	TMEM92	Cluster_1
peak_67650	ENSG00000183691	NOG	Cluster_1
peak_68163	ENSG00000121068	TBX2	Cluster_1
peak_68171	ENSG00000121068	TBX2	Cluster_1
peak_68193	ENSG00000121068	TBX2	Cluster_1
peak_68231	ENSG00000121068	TBX2	Cluster_1
peak_68234	ENSG00000121068	TBX2	Cluster_1
peak_68235	ENSG00000121068	TBX2	Cluster_1
peak_68240	ENSG00000121068	TBX2	Cluster_1
peak_68676	ENSG00000108854	SMURF2	Cluster_1
peak_68679	ENSG00000108854	SMURF2	Cluster_1
peak_68680	ENSG00000108854	SMURF2	Cluster_1
peak_70266	ENSG00000184557	SOCS3	Cluster_1
peak_70316	ENSG00000035862	TIMP2	Cluster_1
peak_70761	ENSG00000266074	BAHCC1	Cluster_1
peak_70765	ENSG00000184009	ACTG1	Cluster_1
peak_71166	ENSG00000082397	EPB41L3	Cluster_1
peak_71207	ENSG00000206432	TMEM200C	Cluster_1
peak_71871	ENSG00000067900	ROCK1	Cluster_1
peak_73007	ENSG00000134030	CTIF	Cluster_1
peak_73008	ENSG00000134030	CTIF	Cluster_1
peak_73012	ENSG00000134030	CTIF	Cluster_1
peak_73480	ENSG00000081923	ATP8B1	Cluster_1
peak_73656	ENSG00000183287	CCBE1	Cluster_1
peak_73657	ENSG00000183287	CCBE1	Cluster_1
peak_73658	ENSG00000183287	CCBE1	Cluster_1
peak_74041	ENSG00000179981	TSHZ1	Cluster_1
peak_74041	ENSG00000180011	ZADH2	Cluster_1
peak_74977	ENSG00000130382	MLLT1	Cluster_1
peak_75090	ENSG00000142459	EVI5L	Cluster_1
peak_75599	ENSG00000008441	NFIX	Cluster_1
peak_75999	ENSG00000127528	KLF2	Cluster_1
peak_76008	ENSG00000127528	KLF2	Cluster_1
peak_76739	ENSG00000121297	TSHZ3	Cluster_1
peak_76741	ENSG00000121297	TSHZ3	Cluster_1
peak_76750	ENSG00000121297	TSHZ3	Cluster_1
peak_76994	ENSG00000105697	HAMP	Cluster_1
peak_76994	ENSG00000126254	RBM42	Cluster_1
peak_77114	ENSG00000105738	SIPA1L3	Cluster_1
peak_77114	ENSG00000171804	WDR87	Cluster_1
peak_77240	ENSG00000130402	ACTN4	Cluster_1
peak_77800	ENSG00000011422	PLAUR	Cluster_1
peak_77962	ENSG00000213889	PPM1N	Cluster_1
peak_77962	ENSG00000125744	RTN2	Cluster_1
peak_77962	ENSG00000125746	EML2	Cluster_1
peak_78094	ENSG00000197380	DACT3	Cluster_1
peak_78442	ENSG00000224420	ADM5	Cluster_1
peak_78442	ENSG00000169169	CPT1C	Cluster_1
peak_78442	ENSG00000196961	AP2A1	Cluster_1
peak_78443	ENSG00000224420	ADM5	Cluster_1
peak_78443	ENSG00000169169	CPT1C	Cluster_1
peak_78443	ENSG00000196961	AP2A1	Cluster_1
peak_78450	ENSG00000224420	ADM5	Cluster_1
peak_78450	ENSG00000169169	CPT1C	Cluster_1
peak_78450	ENSG00000196961	AP2A1	Cluster_1
peak_78451	ENSG00000224420	ADM5	Cluster_1
peak_78451	ENSG00000169169	CPT1C	Cluster_1
peak_78451	ENSG00000196961	AP2A1	Cluster_1
peak_78514	ENSG00000062822	POLD1	Cluster_1
peak_78514	ENSG00000161681	SHANK1	Cluster_1
peak_78514	ENSG00000105472	CLEC11A	Cluster_1
peak_78956	ENSG00000130508	PXDN	Cluster_1
peak_78957	ENSG00000130508	PXDN	Cluster_1
peak_79293	ENSG00000134308	YWHAQ	Cluster_1
peak_79646	ENSG00000071575	TRIB2	Cluster_1
peak_79681	ENSG00000071575	TRIB2	Cluster_1
peak_79950	ENSG00000143867	OSR1	Cluster_1
peak_79951	ENSG00000143867	OSR1	Cluster_1
peak_80006	ENSG00000143867	OSR1	Cluster_1
peak_80022	ENSG00000143867	OSR1	Cluster_1
peak_80030	ENSG00000143867	OSR1	Cluster_1
peak_80095	ENSG00000068697	LAPTM4A	Cluster_1
peak_80097	ENSG00000115884	SDC1	Cluster_1
peak_80100	ENSG00000115884	SDC1	Cluster_1
peak_80833	ENSG00000075426	FOSL2	Cluster_1
peak_81048	ENSG00000213626	LBH	Cluster_1
peak_81049	ENSG00000213626	LBH	Cluster_1
peak_81050	ENSG00000213626	LBH	Cluster_1
peak_81051	ENSG00000213626	LBH	Cluster_1
peak_81051	ENSG00000172954	LCLAT1	Cluster_1
peak_81142	ENSG00000013016	EHD3	Cluster_1
peak_81142	ENSG00000214711	CAPN14	Cluster_1
peak_81145	ENSG00000013016	EHD3	Cluster_1
peak_81145	ENSG00000214711	CAPN14	Cluster_1
peak_81257	ENSG00000049323	LTBP1	Cluster_1
peak_81516	ENSG00000163171	CDC42EP3	Cluster_1
peak_81517	ENSG00000163171	CDC42EP3	Cluster_1
peak_81676	ENSG00000011566	MAP4K3	Cluster_1
peak_81678	ENSG00000011566	MAP4K3	Cluster_1
peak_81733	ENSG00000183023	SLC8A1	Cluster_1
peak_81835	ENSG00000115944	COX7A2L	Cluster_1
peak_82412	ENSG00000116016	EPAS1	Cluster_1
peak_82493	ENSG00000171150	SOCS5	Cluster_1
peak_82494	ENSG00000171150	SOCS5	Cluster_1
peak_82516	ENSG00000068724	TTC7A	Cluster_1
peak_82516	ENSG00000180398	MCFD2	Cluster_1
peak_82576	ENSG00000143933	CALM2	Cluster_1
peak_82576	ENSG00000273269	NA	Cluster_1
peak_82580	ENSG00000143933	CALM2	Cluster_1
peak_82580	ENSG00000273269	NA	Cluster_1
peak_83552	ENSG00000138071	ACTR2	Cluster_1
peak_83552	ENSG00000198369	SPRED2	Cluster_1
peak_83636	ENSG00000143995	MEIS1	Cluster_1
peak_83638	ENSG00000143995	MEIS1	Cluster_1
peak_83639	ENSG00000143995	MEIS1	Cluster_1
peak_84478	ENSG00000115363	EVA1A	Cluster_1
peak_84615	ENSG00000152284	TCF7L1	Cluster_1
peak_85138	ENSG00000144218	AFF3	Cluster_1
peak_85711	ENSG00000172985	SH3RF3	Cluster_1
peak_85716	ENSG00000172985	SH3RF3	Cluster_1
peak_85718	ENSG00000172985	SH3RF3	Cluster_1
peak_85723	ENSG00000172985	SH3RF3	Cluster_1
peak_85723	ENSG00000198142	SOWAHC	Cluster_1
peak_85723	ENSG00000186522	SEPTIN10	Cluster_1
peak_85908	ENSG00000144136	SLC20A1	Cluster_1
peak_86355	ENSG00000074047	GLI2	Cluster_1
peak_86768	ENSG00000150551	LYPD1	Cluster_1
peak_86769	ENSG00000150551	LYPD1	Cluster_1
peak_86770	ENSG00000150551	LYPD1	Cluster_1
peak_86775	ENSG00000150551	LYPD1	Cluster_1
peak_87449	ENSG00000115963	RND3	Cluster_1
peak_89744	ENSG00000168542	COL3A1	Cluster_1
peak_89807	ENSG00000204262	COL5A2	Cluster_1
peak_90053	ENSG00000144339	TMEFF2	Cluster_1
peak_90352	ENSG00000119042	SATB2	Cluster_1
peak_90611	ENSG00000155760	FZD7	Cluster_1
peak_90625	ENSG00000155760	FZD7	Cluster_1
peak_90634	ENSG00000155760	FZD7	Cluster_1
peak_90644	ENSG00000155760	FZD7	Cluster_1
peak_90645	ENSG00000155760	FZD7	Cluster_1
peak_90793	ENSG00000173166	RAPH1	Cluster_1
peak_91075	ENSG00000118263	KLF7	Cluster_1
peak_91438	ENSG00000115414	FN1	Cluster_1
peak_91442	ENSG00000115414	FN1	Cluster_1
peak_91588	ENSG00000115461	IGFBP5	Cluster_1
peak_91589	ENSG00000115461	IGFBP5	Cluster_1
peak_91590	ENSG00000115461	IGFBP5	Cluster_1
peak_92384	ENSG00000169047	IRS1	Cluster_1
peak_92494	ENSG00000173744	AGFG1	Cluster_1
peak_92494	ENSG00000123977	DAW1	Cluster_1
peak_92663	ENSG00000135932	CAB39	Cluster_1
peak_93064	ENSG00000188042	ARL4C	Cluster_1
peak_93103	ENSG00000130147	SH3BP4	Cluster_1
peak_93117	ENSG00000130147	SH3BP4	Cluster_1
peak_93145	ENSG00000130147	SH3BP4	Cluster_1
peak_93150	ENSG00000130147	SH3BP4	Cluster_1
peak_93397	ENSG00000163359	COL6A3	Cluster_1
peak_93501	ENSG00000132329	RAMP1	Cluster_1
peak_93552	ENSG00000065802	ASB1	Cluster_1
peak_94053	ENSG00000198053	SIRPA	Cluster_1
peak_94054	ENSG00000198053	SIRPA	Cluster_1
peak_94060	ENSG00000198053	SIRPA	Cluster_1
peak_94267	ENSG00000101236	RNF24	Cluster_1
peak_94271	ENSG00000101236	RNF24	Cluster_1
peak_94308	ENSG00000171873	ADRA1D	Cluster_1
peak_94308	ENSG00000171864	PRND	Cluster_1
peak_94868	ENSG00000132640	BTBD3	Cluster_1
peak_95092	ENSG00000125844	RRBP1	Cluster_1
peak_95093	ENSG00000125844	RRBP1	Cluster_1
peak_95237	ENSG00000132669	RIN2	Cluster_1
peak_96285	ENSG00000100991	TRPC4AP	Cluster_1
peak_96285	ENSG00000088298	EDEM2	Cluster_1
peak_96485	ENSG00000101335	MYL9	Cluster_1
peak_96520	ENSG00000149639	SOGA1	Cluster_1
peak_96559	ENSG00000101363	MANBAL	Cluster_1
peak_96559	ENSG00000197122	SRC	Cluster_1
peak_97145	ENSG00000124120	TTPAL	Cluster_1
peak_97230	ENSG00000124145	SDC4	Cluster_1
peak_97877	ENSG00000124216	SNAI1	Cluster_1
peak_98361	ENSG00000101134	DOK5	Cluster_1
peak_98362	ENSG00000101134	DOK5	Cluster_1
peak_98440	ENSG00000022277	RTF2	Cluster_1
